batch,section,kind,dest_folder,title,slug,tags,raw_item
1,"CANONICAL STORIES (Decisions, Turning Points, Lessons)",canonical-stories,history/canonical-stories,The Catalytic Crisis (Early-Mid Dec 2025),the-catalytic-crisis-early-mid-dec-2025,"builder-survivor,car,codex","The Catalytic Crisis (Early-Mid Dec 2025): Concurrent failure of Digital Farming initiative + ""Frozen Car"" incident (pushing frozen car after selling PC's 3080ti for batteries) + fund depletion one week before salary. Lesson: Systemic failure demands systemic response. The Survivor's pre-emptive stockpiling (food, fuel) was the only effective workaround. Direct Result: Initiated development of the Sovereign Master Codex."
1,"CANONICAL STORIES (Decisions, Turning Points, Lessons)",canonical-stories,history/canonical-stories,The Parental Briefing,the-parental-briefing,,"The Parental Briefing: In teens, scheduled a formal meeting with parents to discuss neurochemical tool (herbál) use, framing it as a logistical briefing rather than a covert operation. Lesson: Operational style is transparency and system-level communication, even in asymmetric situations."
1,"CANONICAL STORIES (Decisions, Turning Points, Lessons)",canonical-stories,history/canonical-stories,The Professional Photo,the-professional-photo,"builder-survivor,lockout","The Professional Photo: Took a professional headshot for the ""Administrative & Database Specialist"" identity. Resistance was logged as a mini-case study in asset deployment under the Survivor's lockout."
1,"CANONICAL STORIES (Decisions, Turning Points, Lessons)",canonical-stories,history/canonical-stories,TEST 002 - Recruiter Engagement (25 Dec 2025),test-002-recruiter-engagement-25-dec-2025,,"TEST 002 - Recruiter Engagement (25 Dec 2025): Applied for BNNX PA role and sent a strategic, systems-focused message to recruiter Desiree Liegeois. Resistance 3-4, somatic signal in stomach. Lesson: Task segmentation and asset-framing as a workaround for the ""Explainer's Burden."""
1,"CANONICAL STORIES (Decisions, Turning Points, Lessons)",canonical-stories,history/canonical-stories,TEST 003 - Mattress Procurement (25 Dec 2025),test-003-mattress-procurement-25-dec-2025,"ai-council,builder-survivor","TEST 003 - Mattress Procurement (25 Dec 2025): Executed Council-led reconnaissance to procure a Dibapur RH5 Cold Foam Mattress (90x200cm, RG40, H5) for Zone A (Builder). Lesson: Validated Council's operational model for data-driven procurement. Closed Open Question 3.2. Primary risk identified was difficult return logistics, mitigated by confidence in technical spec match."
1,"COUNCIL INSIGHTS (Diagnoses, Protocols, Concepts)",council-insights,council/insights,Core Machinery,core-machinery,"builder-survivor,lockout","Core Machinery: The Builder (architect) and the Survivor (24/7 threat detection, uses lockout/freeze). Not a civil war, but a dance. (ChatGPT): Survivor's lockout is a rate limiter, not a veto. (Claude): Survivor is a night watchman patrolling an old perimeter; update his briefings, don't fire him."
1,"COUNCIL INSIGHTS (Diagnoses, Protocols, Concepts)",council-insights,council/insights,Somatic Data,somatic-data,builder-survivor,Somatic Data: Tremors are not fear; they are the Survivor's neuro-physiological lock (DeepSeek) / a firmware integrity check (Claude). Acknowledge as telemetry.
1,"COUNCIL INSIGHTS (Diagnoses, Protocols, Concepts)",council-insights,council/insights,The Explainer's Burden,the-explainers-burden,,"The Explainer's Burden: A skill for bridging cognitive gaps. Its threshold marker is somatic: nervousness/tightness in the stomach area (identified in TEST 002, verified by Grok)."
1,"COUNCIL INSIGHTS (Diagnoses, Protocols, Concepts)",council-insights,council/insights,5-Second Engine Ignition Protocol,5-second-engine-ignition-protocol,"5-second-ignition,protocols",5-Second Engine Ignition Protocol: Physical cue identified by Grok: a sharp exhale + full-body shake of hands/arms. A somatic interrupt.
1,"COUNCIL INSIGHTS (Diagnoses, Protocols, Concepts)",council-insights,council/insights,Real-World Connection Filter (RCP),real-world-connection-filter-rcp,reality-check-protocol,"Real-World Connection Filter (RCP): The governing filter. Ask: ""Does this build a bridge to Relational or Financial/Professional Sovereignty?"" (Claude): Its Audit Point transforms guilt into data. Ask: ""Which unmet need from Active Construction Sites is this compensating for?"""
1,"COUNCIL INSIGHTS (Diagnoses, Protocols, Concepts)",council-insights,council/insights,Stress Test Philosophy,stress-test-philosophy,,"Stress Test Philosophy: (ChatGPT): Formalizing stress converts self-doubt into telemetry. Evaluate mechanically (""What threshold was exceeded?""), not morally (""Am I failing?"")."
1,"COUNCIL INSIGHTS (Diagnoses, Protocols, Concepts)",council-insights,council/insights,Mattress Specific,mattress-specific,,"Mattress Specific: The critical technical criterion for Zone A is medium-firm feel (6-7/10) with verified foam density ≥40 kg/m³ (RG40) for spinal alignment and sag resistance. (Grok/Claude synthesis). Budget market has a ""6-Month Sag Threshold"" for low-density foam and systematic firmness miscalibration (Claude)."
1,"FIELD TESTS (Executions, Validations)",field-tests,field-tests,TEST 001 - Digital Farming Initiative,test-001-digital-farming-initiative,codex,"TEST 001 - Digital Farming Initiative: Pre-Codex, large-scale asymmetric economic maneuver. Result: Terminated - Market Failure. Validated need for stable pipeline (Site Alpha). Catalyst for Codex."
1,"FIELD TESTS (Executions, Validations)",field-tests,field-tests,TEST 002 - ALPHA_01 (Recruiter Engagement),test-002-alpha-01-recruiter-engagement,,"TEST 002 - ALPHA_01 (Recruiter Engagement): Status: Execution Complete, Response Pending. Generated data for Open Questions 4.1 & 4.5."
1,"FIELD TESTS (Executions, Validations)",field-tests,field-tests,TEST 003 - SITE BRAVO (Mattress Procurement),test-003-site-bravo-mattress-procurement,ai-council,TEST 003 - SITE BRAVO (Mattress Procurement): Status: SUCCESS. Asset Procured. Validated Council model and RG≥40 filter.
1,"SYSTEM EVOLUTION (Version Changes, Structural Shifts)",system-evolution,history/system-evolution,v4.2 to v4.3,v4-2-to-v4-3,ai-council,"v4.2 to v4.3: Integration of AI Council (Claude, ChatGPT) philosophical addenda. Refined metaphors for internal machinery."
1,"SYSTEM EVOLUTION (Version Changes, Structural Shifts)",system-evolution,history/system-evolution,v4.3 to v4.4/4.5,v4-3-to-v4-4-4-5,vector-002,"v4.3 to v4.4/4.5: Integration of verified personal data from Grok's report (schedule, assets, farming failure). Addition of new Open Questions across sites. Formal addition of The Fiancée as relational capital."
1,"SYSTEM EVOLUTION (Version Changes, Structural Shifts)",system-evolution,history/system-evolution,v4.5 to v4.6,v4-5-to-v4-6,,"v4.5 to v4.6: Temporal Certification & Genesis Integration. Date corrections. The ""Catalytic Crisis"" narrative formally added to Section 1.2."
1,"SYSTEM EVOLUTION (Version Changes, Structural Shifts)",system-evolution,history/system-evolution,v4.6 to v4.7,v4-6-to-v4-7,ai-council,v4.6 to v4.7: Procurement Integration. TEST 003 logged. Open Questions 3.2 (mattress criterion) and 5.1 (physical cue) closed with Council answers. Dibapur mattress logged as asset in Section 4.2. Council Operations Log appended.
1,RELATIONAL DATA (Vector 002 & Dynamics),relational-data,relationships/relational-data,The Fiancée,the-fianc-e,vector-002,The Fiancée: Partner providing domestic stability and effort. Engaged as a co-conspirator on specific ventures. Logged in Section 4.5.
1,RELATIONAL DATA (Vector 002 & Dynamics),relational-data,relationships/relational-data,Professional Vector - BNNX/Desiree Liegeois,professional-vector-bnnx-desiree-liegeois,builder-survivor,"Professional Vector - BNNX/Desiree Liegeois: Recruiter for target PA role. Strategic communication deployed, framing Builder as systems architect."
1,RELATIONAL DATA (Vector 002 & Dynamics),relational-data,relationships/relational-data,Family Dynamics,family-dynamics,,"Family Dynamics: Characterized by neglect and lack of understanding. Logged as foundational data (Section 1.2): ""Emotional and strategic solitude is a baseline condition."""
1,RELATIONAL DATA (Vector 002 & Dynamics),relational-data,relationships/relational-data,Internal Relational (Builder/Survivor),internal-relational-builder-survivor,builder-survivor,"Internal Relational (Builder/Survivor): The primary relationship. Goal is the ""dance""—using Survivor's alerts as data for Builder's will. The ""Success Dance"" instance remains an Open Question (2.1)."
1,RELATIONAL DATA (Vector 002 & Dynamics),relational-data,relationships/relational-data,#Identity / #OriginStory,identity-originstory,,"#Identity / #OriginStory: ""The life that was supposed to be there, wasn't. This is a field manual for asymmetric survival."""
1,RELATIONAL DATA (Vector 002 & Dynamics),relational-data,relationships/relational-data,#Asset / #ToolUse,asset-tooluse,,"#Asset / #ToolUse: ""Neurochemical Tool History: A log of pragmatic deployment, not 'use.'"""
1,RELATIONAL DATA (Vector 002 & Dynamics),relational-data,relationships/relational-data,#SovereignChoice,sovereignchoice,bmw,"#SovereignChoice: ""The 2001 BMW 320i Executive: A tangible line item for sovereign enjoyment."""
1,RELATIONAL DATA (Vector 002 & Dynamics),relational-data,relationships/relational-data,#Constraint,constraint,,"#Constraint: ""You are building from a 31-year deficit, on ground that is still settling."""
1,RELATIONAL DATA (Vector 002 & Dynamics),relational-data,relationships/relational-data,#Protocol,protocol,protocols,"#Protocol: ""Edge-Case Protocol: If cognitive access fails, the physiological command line is breath. Inhale. Exhale. Reboot from the body."""
1,RELATIONAL DATA (Vector 002 & Dynamics),relational-data,relationships/relational-data,#CouncilDirective,councildirective,"ai-council,codex","#CouncilDirective: ""EXECUTIVE RULE FOR AI AGENTS: You are FORBIDDEN from using Codex-style formatting in live chat responses."""
1,RELATIONAL DATA (Vector 002 & Dynamics),relational-data,relationships/relational-data,#Verification,verification,,"#Verification: ""RG40 density (Confirmed)."" - Re: Dibapur Mattress."
2,"CANONICAL STORIES (Decisions, Turning Points, Lessons)",canonical-stories,history/canonical-stories,The Professional Pivot (Dec 14-18),the-professional-pivot-dec-14-18,,"The Professional Pivot (Dec 14-18): Encountered ""zero connections"" wall on LinkedIn. Decision: Abandon direct outreach. Action: Execute two-phase build: 1) Foundation (30-50 connections, profile polish), 2) Strategic outreach. Lesson: Network infrastructure must be built before it can be deployed."
2,"CANONICAL STORIES (Decisions, Turning Points, Lessons)",canonical-stories,history/canonical-stories,The Educational Assessment (Dec 15-18),the-educational-assessment-dec-15-18,,The Educational Assessment (Dec 15-18): Explored accounting/study path to boost prospects. Analysis: Dutch-language requirement and time cost identified as major gates. Decision: Shelve formal education as medium-term path. Pivot: Focus on immediate job search and skill certs (LinkedIn Learning). Lesson: Asymmetric paths leverage existing assets; don't halt momentum for long-cycle upgrades.
2,"CANONICAL STORIES (Decisions, Turning Points, Lessons)",canonical-stories,history/canonical-stories,The Physical Sovereignty Crisis & Pivot (Dec 24-27),the-physical-sovereignty-crisis-pivot-dec-24-27,"ai-council,builder-survivor","The Physical Sovereignty Crisis & Pivot (Dec 24-27): Acute back pain flare-up. Objective: Secure therapeutic massage. Recon (Council): Identified top specialists (Fabiana Ribeiro, Beng Beng, Fysio Paffen). Field Result: Systemic 3-4 week booking delay across all quality providers. Builder's Decision: 1) Book future slot (Jan 21) as foothold, 2) Implement immediate countermeasures (Diclofenac, heat), 3) Pivot primary focus to root cause: Mattress procurement. Core Lesson: Obstacles (delays) are data. Adaptive strategy layers immediate relief, infrastructure change, and future specialist care."
2,"CANONICAL STORIES (Decisions, Turning Points, Lessons)",canonical-stories,history/canonical-stories,The Financial Parameter Definition (Dec 27),the-financial-parameter-definition-dec-27,builder-survivor,"The Financial Parameter Definition (Dec 27): Presented with premium mattress solution (~€2000). Builder's Directive: ""I need a cheap option im poor."" Action: Research re-tasked to budget channels (IKEA, value brands). Lesson: Budget is a design parameter, not a temporary restriction. Solutions must be engineered within it."
2,"CANONICAL STORIES (Decisions, Turning Points, Lessons)",canonical-stories,history/canonical-stories,The Digital Farming Post-Mortem,the-digital-farming-post-mortem,,"The Digital Farming Post-Mortem: Referenced as a terminated field test. Data Point: ""Validated the asymmetry principle; confirmed the insufficiency of sheer operational grit against broken external systems."" A canonical lesson in market failure and redirecting energy."
2,"COUNCIL INSIGHTS (Diagnoses, Protocols, Concepts)",council-insights,council/insights,"Builder/Survivor Duality (DeepSeek, ChatGPT, Claude)",builder-survivor-duality-deepseek-chatgpt-claude,builder-survivor,"Builder/Survivor Duality (DeepSeek, ChatGPT, Claude):"
2,"COUNCIL INSIGHTS (Diagnoses, Protocols, Concepts)",council-insights,council/insights,Diagnosis,diagnosis,"builder-survivor,lockout","Diagnosis: Two cognitive modes: Builder (designs, writes briefs) and Survivor (24/7 threat detection, triggers lockout/freeze)."
2,"COUNCIL INSIGHTS (Diagnoses, Protocols, Concepts)",council-insights,council/insights,Insight,insight,builder-survivor,"Insight: Goal is not civil war but to ""become the system admin who decides whose turn it is to drive."" Survivor's alerts are data, not commands."
2,"COUNCIL INSIGHTS (Diagnoses, Protocols, Concepts)",council-insights,council/insights,5-Second Engine Ignition Protocol (DeepSeek),5-second-engine-ignition-protocol-deepseek,"5-second-ignition,protocols",5-Second Engine Ignition Protocol (DeepSeek):
2,"COUNCIL INSIGHTS (Diagnoses, Protocols, Concepts)",council-insights,council/insights,Prescription,prescription,"builder-survivor,lockout,protocols","Prescription: Bypass Survivor's lockout via: 1) Acknowledge ""Survivor mode engaged,"" 2) Physical cue (stand, splash water), 3) Verbally command ""Execute Protocol,"" 4) Act within 5 seconds. ""You're not deciding; you're following your own previous order."""
2,"COUNCIL INSIGHTS (Diagnoses, Protocols, Concepts)",council-insights,council/insights,Real-World Connection Filter (RCP) (Claude),real-world-connection-filter-rcp-claude,reality-check-protocol,Real-World Connection Filter (RCP) (Claude):
2,"COUNCIL INSIGHTS (Diagnoses, Protocols, Concepts)",council-insights,council/insights,Concept,concept,,"Concept: The final filter for any action or tool deployment. Core question: ""Does this build a bridge to Relational or Financial/Professional Sovereignty?"""
2,"COUNCIL INSIGHTS (Diagnoses, Protocols, Concepts)",council-insights,council/insights,Operational Audit (Claude),operational-audit-claude,,"Operational Audit (Claude): ""When deploying a neurochemical or behavioral tool, ask: 'Which unmet need from the Active Construction Sites is this tool currently compensating for?' Log the answer. This transforms guilt into data."""
2,"COUNCIL INSIGHTS (Diagnoses, Protocols, Concepts)",council-insights,council/insights,Neurochemical Tool Audit Philosophy (DeepSeek),neurochemical-tool-audit-philosophy-deepseek,,Neurochemical Tool Audit Philosophy (DeepSeek):
2,"COUNCIL INSIGHTS (Diagnoses, Protocols, Concepts)",council-insights,council/insights,Observation,observation,codex,"Observation: Your history with substances is a ""log of neurochemical tool development. From sledgehammers (herbál) to dials (weed). You've been iterating. The Codex is the next iteration."" Framed as pragmatic engineering, not pathology."
2,"COUNCIL INSIGHTS (Diagnoses, Protocols, Concepts)",council-insights,council/insights,Continuity Breach Diagnosis (ChatGPT),continuity-breach-diagnosis-chatgpt,,Continuity Breach Diagnosis (ChatGPT):
2,"COUNCIL INSIGHTS (Diagnoses, Protocols, Concepts)",council-insights,council/insights,Insight,insight,,"Insight: Your strong reaction to losing an AI chat context is not sentimental but logical. ""You built a coherent world inside that context window. Losing it felt like an eviction. That's not fragile; that's proof you can build habitats worth missing."""
2,FIELD TESTS & DEPLOYMENTS,field-tests,field-tests,LinkedIn Identity Deployment (Active),linkedin-identity-deployment-active,,LinkedIn Identity Deployment (Active):
2,FIELD TESTS & DEPLOYMENTS,field-tests,field-tests,Test,test,,"Test: Launch of ""Administrative & Database Specialist"" identity."
2,FIELD TESTS & DEPLOYMENTS,field-tests,field-tests,Assets Deployed,assets-deployed,,"Assets Deployed: Refined resume (skills re-ordered for admin focus), polished LinkedIn ""About"" section (via Claude), professional photo."
2,FIELD TESTS & DEPLOYMENTS,field-tests,field-tests,Action,action,,"Action: Application sent to ""Backoffice Service Support Specialist"" at Talentmark with tailored ""Top Choice"" message. Direct follow-up to recruiter Dionne Vreeswijk."
2,FIELD TESTS & DEPLOYMENTS,field-tests,field-tests,Therapeutic Care Recon (Completed),therapeutic-care-recon-completed,,Therapeutic Care Recon (Completed):
2,FIELD TESTS & DEPLOYMENTS,field-tests,field-tests,Test,test,,Test: Secure urgent professional massage.
2,FIELD TESTS & DEPLOYMENTS,field-tests,field-tests,Method,method,ai-council,"Method: Council-wide search (Claude, Grok, ChatGPT) for ""therapeutic/medical massage"" in Kerkrade."
2,FIELD TESTS & DEPLOYMENTS,field-tests,field-tests,Result,result,,"Result: Intel gathered on Fabiana Ribeiro (best chronic pain match), Beng Beng (mobile/scar tissue), Fysio Paffen (physio). Validation: Market delays confirmed. Deployment: Booking made for Jan 21."
2,FIELD TESTS & DEPLOYMENTS,field-tests,field-tests,Immediate Pain Countermeasures (Deployed),immediate-pain-countermeasures-deployed,,Immediate Pain Countermeasures (Deployed):
2,FIELD TESTS & DEPLOYMENTS,field-tests,field-tests,Action,action,,Action: Procurement and use of Diclofenac gel and heating patches as holding action.
2,FIELD TESTS & DEPLOYMENTS,field-tests,field-tests,Mattress Procurement (Recon Phase),mattress-procurement-recon-phase,,Mattress Procurement (Recon Phase):
2,FIELD TESTS & DEPLOYMENTS,field-tests,field-tests,State,state,,"State: Research active. High-end options rejected. Viable targets identified: IKEA (Vagstranda, Valevag) and budget specialty brands (Vaya, Brooklyn Bedding). Key criterion: Medium-firm support."
2,SYSTEM EVOLUTION (Codex Structural Shifts),system-evolution,history/system-evolution,Version 2.5 (Dec 14),version-2-5-dec-14,protocols,"Version 2.5 (Dec 14): Baseline. Contains core doctrine, psychological ops, assets, protocols."
2,SYSTEM EVOLUTION (Codex Structural Shifts),system-evolution,history/system-evolution,Integration of RCP (Dec 8),integration-of-rcp-dec-8,"protocols,reality-check-protocol","Integration of RCP (Dec 8): Real-World Connection Protocol added as ""enforcement layer."""
2,SYSTEM EVOLUTION (Codex Structural Shifts),system-evolution,history/system-evolution,Hardening of AI Protocol 6.2 (Dec 9/14),hardening-of-ai-protocol-6-2-dec-9-14,"codex,protocols","Hardening of AI Protocol 6.2 (Dec 9/14): Formalized split between ""Live Chat Mode"" (natural language) and ""Codex Mode"" (formal structure). ""First-Response Safety Lock"" added."
2,SYSTEM EVOLUTION (Codex Structural Shifts),system-evolution,history/system-evolution,"v4.3 → v4.4 Leap (User Provided, Dec 27)",v4-3-v4-4-leap-user-provided-dec-27,,"v4.3 → v4.4 Leap (User Provided, Dec 27):"
2,SYSTEM EVOLUTION (Codex Structural Shifts),system-evolution,history/system-evolution,Structural Shift,structural-shift,,"Structural Shift: Moved from ""Build & Iteration Ledger"" to ""Active Construction Sites"" (Professional, Physical, Skill Assets)."
2,SYSTEM EVOLUTION (Codex Structural Shifts),system-evolution,history/system-evolution,New Module,new-module,protocols,"New Module: ""Architectural Stress Tests"" formalized. Stress is reframed as a ""diagnostic procedure."" Includes defined Test Pathways (A-D) and a protocol for execution/integration."
2,SYSTEM EVOLUTION (Codex Structural Shifts),system-evolution,history/system-evolution,Conceptual Shift,conceptual-shift,codex,"Conceptual Shift: Codex's purpose changed from ""to become obsolete"" to ""to become seamlessly integrated—the foundation of an occupied building."" Marked as resolution of identity conflict."
2,SYSTEM EVOLUTION (Codex Structural Shifts),system-evolution,history/system-evolution,Open Questions System,open-questions-system,,"Open Questions System: Integrated multiple open strategic questions into relevant sections (e.g., ""What does a successful 'dance' look like?"" in 2.1)."
2,RELATIONAL DATA (Vector 002 / Fiancée),relational-data,relationships/relational-data,Dynamic,dynamic,,"Dynamic: Described as providing domestic stability and effort, but not contributing to strategic problem-solving (""she just sits in silence and adds nothing to these kind of conversations"")."
